Category,Product Name
Asian,Chicken Triple Schezwan Rice
Asian,Chicken Chilli Garlic Fried Rice - Full (1000 ml)
Asian,Double Egg Fried Rice - Full (1000 ml)
Asian,Egg Fried Rice - Full (1000 ml)
Asian,Chicken Burnt Garlic Fried Rice - Full (1000 ml)
Asian,Chicken Schezwan Fried Rice - Full (1000 ml)
Asian,Chicken Schezwan Noodles - Full (1000 ml)
Asian,Chicken Burnt Garlic Noodles - Full (1000 ml)
Asian,Double Egg Hakka Noodles - Full (1000 ml)
Asian,Chicken Chilli Garlic Noodles - Full (1000 ml)
Asian,Chicken Hakka Noodles - Full (1000 ml)
Asian,Egg Hakka Noodles - Full (1000 ml)
Asian,Veg Chilli Garlic Fried Rice - Half (500 ml)
Asian,Veg Chinese Fried Rice - Half (500 ml)
Asian,Veg Chinese Schezwan Fried Rice - Half (500 ml)
Asian,Veg Burnt Garlic Fried Rice - Half (500 ml)
Asian,Veg Chilli Garlic Noodles - Half (500 ml)
Asian,Veg Chinese Hakka Noodles - Half (500 ml)
Asian,Veg Schezwan Noodles - Half (500 ml)
Asian,Veg Burnt Garlic Noodles - Half (500 ml)
Asian,Chicken Fried Rice - Half (500 ml)
Asian,Double Egg Fried Rice - Half (500 ml)
Asian,Chicken Chilli Garlic Fried Rice - Half (500 ml)
Asian,Egg Fried Rice - Half (500 ml)
Asian,Chicken Burnt Garlic Fried Rice - Half (500 ml)
Asian,Chicken Schezwan Fried Rice - Half (500 ml)
Asian,Chicken Burnt Garlic Noodles - Half (500 ml)
Asian,Chicken Hakka Noodles - Half (500 ml)
Asian,Chicken Chilli Garlic Noodles - Half (500 ml)
Asian,Chicken Schezwan Noodles - Half (500 ml)
Asian,Double Egg Hakka Noodles - Half (500 ml)
Asian,Egg Hakka Noodles - Half (500 ml)
Asian,Manchurian Veg - Full (Now With Extra Manchurian Ball)
